YEAR,temp_above_90,humidity_above_90,humidity_below_10,U_Wet-Hot,U_Dry-Hot,Name,,YEAR2,temp_above_90,humidity_above_90,humidity_below_10,R_Wet-Hot,R_Dry-Hot,Name2
1983,10,11,21,0,2,b1,,1983,8,12,16,2,1,b1
1984,2,11,9,0,0,b1,,1984,2,14,8,0,0,b1
1985,2,13,10,0,0,b1,,1985,2,15,10,1,0,b1
1986,10,6,16,0,0,b1,,1986,10,7,21,0,0,b1
1987,17,10,27,2,3,b1,,1987,16,11,27,3,3,b1
1988,3,29,8,0,0,b1,,1988,3,29,7,0,0,b1
1989,6,17,35,0,0,b1,,1989,5,16,34,0,0,b1
1990,3,14,4,0,0,b1,,1990,5,15,3,0,0,b1
1991,30,14,16,0,1,b1,,1991,30,17,12,1,0,b1
1992,7,13,8,0,1,b1,,1992,7,15,7,0,0,b1
1993,6,3,16,0,0,b1,,1993,7,3,15,0,0,b1
1994,12,20,7,2,0,b1,,1994,13,20,6,3,0,b1
1995,3,10,16,0,0,b1,,1995,3,9,16,0,0,b1
1996,1,17,7,1,0,b1,,1996,2,19,7,1,0,b1
1997,19,15,13,5,0,b1,,1997,20,15,14,5,0,b1
1998,15,22,6,1,0,b1,,1998,15,23,5,2,0,b1
1999,40,18,13,3,3,b1,,1999,42,16,11,4,2,b1
2000,24,15,20,4,2,b1,,2000,22,16,21,4,3,b1
2001,21,8,21,0,3,b1,,2001,23,7,21,0,5,b1
2002,18,28,6,8,1,b1,,2002,19,31,8,9,1,b1
2003,8,19,6,2,0,b1,,2003,5,21,7,1,0,b1
2004,4,13,5,1,0,b1,,2004,5,13,7,2,0,b1
2005,30,13,26,2,6,b1,,2005,31,12,26,2,7,b1
2006,17,23,14,2,2,b1,,2006,15,22,15,1,2,b1
2007,36,7,21,1,4,b1,,2007,33,6,22,1,3,b1
2008,21,7,17,0,2,b1,,2008,21,7,17,0,0,b1
2009,19,9,25,4,7,b1,,2009,19,10,33,4,7,b1
2010,35,18,17,7,7,b1,,2010,33,16,16,4,5,b1
2011,19,8,35,0,3,b1,,2011,20,6,37,0,2,b1
2012,13,24,8,1,0,b1,,2012,13,23,9,1,0,b1
2013,13,33,13,3,0,b1,,2013,12,33,16,3,0,b1
2014,13,15,11,0,0,b1,,2014,12,16,11,1,0,b1
2015,20,4,25,2,3,b1,,2015,21,6,28,2,4,b1
2016,23,18,12,3,0,b1,,2016,25,24,11,6,0,b1
2017,43,9,18,3,1,b1,,2017,39,11,13,3,0,b1
2018,29,41,15,10,4,b1,,2018,27,46,16,11,2,b1
2019,15,13,17,1,0,b1,,2019,13,14,16,2,0,b1
2020,14,9,9,0,0,b1,,2020,14,10,8,0,0,b1
2021,24,14,23,4,1,b1,,2021,26,14,28,4,2,b1
2022,33,14,25,7,1,b1,,2022,35,14,22,6,1,b1
1981,25,16,27,6,3,b2_1,,1981,22,15,20,5,0,b2_1
1982,12,6,20,2,1,b2_1,,1982,12,8,17,3,1,b2_1
1983,16,15,21,7,3,b2_1,,1983,15,16,19,5,2,b2_1
1984,4,3,16,0,0,b2_1,,1984,5,5,14,0,0,b2_1
1985,2,16,4,1,0,b2_1,,1985,1,14,4,1,0,b2_1
1986,6,8,8,2,1,b2_1,,1986,9,7,9,1,2,b2_1
1987,10,15,8,2,0,b2_1,,1987,12,14,10,3,0,b2_1
1988,4,14,12,2,0,b2_1,,1988,6,13,13,1,0,b2_1
1989,9,11,25,1,5,b2_1,,1989,8,10,23,1,2,b2_1
1990,4,20,6,3,0,b2_1,,1990,4,21,7,2,0,b2_1
1991,7,22,13,3,0,b2_1,,1991,9,22,12,3,0,b2_1
1992,12,2,20,0,3,b2_1,,1992,14,1,19,0,1,b2_1
1993,8,8,16,1,0,b2_1,,1993,7,9,14,1,0,b2_1
1994,10,33,11,2,0,b2_1,,1994,14,31,14,3,0,b2_1
1995,3,13,16,1,0,b2_1,,1995,2,11,16,0,0,b2_1
1996,3,10,9,2,0,b2_1,,1996,3,8,12,2,0,b2_1
1997,33,12,23,8,6,b2_1,,1997,32,14,22,9,5,b2_1
1998,20,22,8,6,0,b2_1,,1998,21,23,8,6,0,b2_1
1999,27,12,13,4,4,b2_1,,1999,27,14,11,6,3,b2_1
2000,26,12,13,3,2,b2_1,,2000,31,15,12,3,3,b2_1
2001,24,11,6,2,1,b2_1,,2001,21,10,6,1,1,b2_1
2002,24,17,19,9,5,b2_1,,2002,24,16,18,9,4,b2_1
2003,9,16,17,3,1,b2_1,,2003,8,18,17,2,0,b2_1
2004,12,8,24,3,1,b2_1,,2004,7,10,22,1,0,b2_1
2005,23,17,20,7,4,b2_1,,2005,23,17,21,5,3,b2_1
2006,9,20,15,1,1,b2_1,,2006,9,24,16,1,0,b2_1
2007,19,15,14,1,3,b2_1,,2007,18,14,11,2,1,b2_1
2008,8,17,9,3,0,b2_1,,2008,10,20,12,5,0,b2_1
2009,26,9,22,2,7,b2_1,,2009,27,12,27,2,8,b2_1
2010,21,12,14,5,2,b2_1,,2010,19,11,11,4,2,b2_1
2011,8,10,21,4,0,b2_1,,2011,8,9,20,4,0,b2_1
2012,12,11,26,2,2,b2_1,,2012,11,10,26,2,1,b2_1
2013,17,21,11,4,1,b2_1,,2013,16,25,13,3,0,b2_1
2014,21,11,21,0,6,b2_1,,2014,15,8,24,0,3,b2_1
2015,9,5,20,1,2,b2_1,,2015,11,6,15,0,1,b2_1
2016,19,25,21,10,3,b2_1,,2016,17,25,20,10,1,b2_1
2017,32,16,15,10,0,b2_1,,2017,34,13,13,6,0,b2_1
2018,23,36,9,10,2,b2_1,,2018,20,33,10,9,2,b2_1
2019,37,10,21,3,1,b2_1,,2019,38,8,19,3,0,b2_1
2020,14,12,10,4,0,b2_1,,2020,13,12,11,2,1,b2_1
2021,3,23,18,1,2,b2_1,,2021,5,24,19,2,2,b2_1
2022,23,18,18,7,2,b2_1,,2022,32,19,18,6,1,b2_1
1981,19,15,21,2,3,b2_2,,1981,24,16,23,5,2,b2_2
1982,9,8,16,2,1,b2_2,,1982,10,8,19,3,1,b2_2
1983,15,14,21,5,3,b2_2,,1983,13,15,19,6,3,b2_2
1984,6,7,14,0,0,b2_2,,1984,7,6,15,0,0,b2_2
1985,3,14,1,2,0,b2_2,,1985,2,14,2,2,0,b2_2
1986,6,8,8,2,2,b2_2,,1986,8,5,8,1,2,b2_2
1987,8,14,10,2,0,b2_2,,1987,12,14,10,2,0,b2_2
1988,2,16,10,1,0,b2_2,,1988,3,16,15,1,0,b2_2
1989,8,9,23,1,2,b2_2,,1989,8,10,24,2,1,b2_2
1990,4,25,6,4,0,b2_2,,1990,5,24,6,5,0,b2_2
1991,6,22,10,4,0,b2_2,,1991,7,24,10,4,0,b2_2
1992,14,3,23,1,4,b2_2,,1992,14,1,23,0,4,b2_2
1993,7,10,13,1,1,b2_2,,1993,4,8,12,1,0,b2_2
1994,13,31,14,2,1,b2_2,,1994,13,33,13,3,0,b2_2
1995,0,11,16,0,0,b2_2,,1995,1,11,17,0,0,b2_2
1996,3,9,12,1,0,b2_2,,1996,3,11,12,2,0,b2_2
1997,40,9,25,5,8,b2_2,,1997,40,9,26,6,8,b2_2
1998,23,22,9,7,0,b2_2,,1998,22,23,8,7,0,b2_2
1999,31,14,17,6,7,b2_2,,1999,27,15,14,8,4,b2_2
2000,24,12,13,5,4,b2_2,,2000,27,10,13,3,3,b2_2
2001,30,12,8,5,4,b2_2,,2001,27,13,6,5,2,b2_2
2002,27,16,19,9,5,b2_2,,2002,26,18,17,10,1,b2_2
2003,8,17,17,4,1,b2_2,,2003,8,19,18,4,1,b2_2
2004,5,6,23,1,0,b2_2,,2004,5,9,23,1,0,b2_2
2005,21,17,17,5,3,b2_2,,2005,22,15,18,6,3,b2_2
2006,13,16,16,2,0,b2_2,,2006,11,15,16,2,0,b2_2
2007,16,17,13,3,2,b2_2,,2007,16,17,14,3,1,b2_2
2008,11,18,13,4,0,b2_2,,2008,9,20,12,5,0,b2_2
2009,28,12,25,2,9,b2_2,,2009,27,13,25,3,9,b2_2
2010,22,12,12,6,1,b2_2,,2010,23,10,12,6,2,b2_2
2011,13,6,26,2,3,b2_2,,2011,14,5,24,2,2,b2_2
2012,12,13,25,5,2,b2_2,,2012,14,12,26,4,2,b2_2
2013,8,31,9,4,1,b2_2,,2013,12,32,10,6,1,b2_2
2014,17,10,18,0,3,b2_2,,2014,17,9,21,0,3,b2_2
2015,9,5,20,1,3,b2_2,,2015,10,7,21,1,1,b2_2
2016,16,20,18,8,2,b2_2,,2016,17,23,19,9,2,b2_2
2017,42,14,18,10,0,b2_2,,2017,41,16,17,11,0,b2_2
2018,25,33,11,8,4,b2_2,,2018,26,29,11,11,4,b2_2
2019,35,11,19,3,1,b2_2,,2019,38,10,19,4,0,b2_2
2020,12,11,11,4,1,b2_2,,2020,11,11,11,3,1,b2_2
2021,6,21,17,3,2,b2_2,,2021,8,21,19,3,2,b2_2
2022,24,22,17,6,2,b2_2,,2022,26,24,17,7,2,b2_2
1981,18,14,20,7,0,b3,,1981,18,16,19,6,0,b3
1982,9,8,17,2,0,b3,,1982,9,7,18,3,0,b3
1983,13,18,17,5,2,b3,,1983,16,17,16,6,2,b3
1984,6,2,12,0,1,b3,,1984,6,3,14,0,1,b3
1985,0,17,6,0,0,b3,,1985,0,17,6,0,0,b3
1986,5,9,8,1,1,b3,,1986,7,5,8,0,1,b3
1987,3,20,6,2,0,b3,,1987,6,16,10,3,0,b3
1988,6,16,13,2,0,b3,,1988,7,16,13,2,0,b3
1989,6,11,21,1,4,b3,,1989,4,11,21,1,1,b3
1990,2,15,5,0,0,b3,,1990,5,15,6,1,0,b3
1991,10,22,12,3,0,b3,,1991,11,19,14,4,0,b3
1992,11,3,15,0,0,b3,,1992,11,2,20,0,1,b3
1993,5,11,14,1,0,b3,,1993,6,8,14,1,0,b3
1994,7,34,11,1,0,b3,,1994,10,32,13,2,0,b3
1995,2,16,16,1,0,b3,,1995,1,11,16,1,0,b3
1996,5,10,11,2,0,b3,,1996,4,8,14,2,0,b3
1997,32,10,23,7,6,b3,,1997,32,14,19,7,1,b3
1998,18,25,8,4,0,b3,,1998,16,23,7,6,0,b3
1999,32,11,12,4,3,b3,,1999,28,12,10,4,2,b3
2000,40,17,14,7,8,b3,,2000,36,16,12,8,5,b3
2001,25,11,8,2,1,b3,,2001,23,10,6,3,1,b3
2002,26,13,22,7,7,b3,,2002,24,15,22,7,5,b3
2003,16,9,19,3,5,b3,,2003,12,18,17,3,1,b3
2004,13,8,24,3,1,b3,,2004,9,9,23,3,0,b3
2005,20,17,18,5,2,b3,,2005,22,18,18,7,2,b3
2006,15,19,14,2,0,b3,,2006,13,18,16,2,0,b3
2007,28,10,17,0,3,b3,,2007,31,10,12,0,1,b3
2008,13,16,11,3,0,b3,,2008,11,17,12,5,0,b3
2009,25,9,22,1,7,b3,,2009,28,11,27,1,7,b3
2010,20,12,13,5,3,b3,,2010,21,13,10,6,2,b3
2011,7,11,20,4,0,b3,,2011,9,10,20,4,0,b3
2012,17,10,24,3,1,b3,,2012,17,11,21,4,0,b3
2013,18,18,14,3,1,b3,,2013,17,22,14,3,0,b3
2014,25,6,26,1,9,b3,,2014,16,5,23,1,2,b3
2015,12,6,18,1,2,b3,,2015,13,5,18,0,3,b3
2016,13,24,13,8,1,b3,,2016,16,22,17,9,1,b3
2017,24,21,13,9,1,b3,,2017,34,20,15,8,0,b3
2018,26,32,16,10,5,b3,,2018,22,35,15,10,3,b3
2019,31,6,21,3,0,b3,,2019,32,10,21,4,0,b3
2020,15,11,18,1,4,b3,,2020,15,13,15,4,2,b3
2021,2,23,18,0,2,b3,,2021,2,20,20,2,0,b3
2022,25,19,17,6,1,b3,,2022,30,17,23,7,1,b3
1981,12,25,12,8,0,c1,,1981,11,22,12,8,0,c1
1982,25,16,32,6,3,c1,,1982,27,15,32,6,4,c1
1983,10,22,7,6,0,c1,,1983,10,20,7,6,0,c1
1984,11,9,11,3,0,c1,,1984,13,10,11,4,0,c1
1985,4,11,9,1,0,c1,,1985,4,12,9,1,0,c1
1986,4,7,6,0,0,c1,,1986,4,7,5,0,0,c1
1987,2,6,15,0,0,c1,,1987,2,6,16,0,0,c1
1988,11,18,3,6,0,c1,,1988,13,17,3,7,0,c1
1989,7,5,11,1,0,c1,,1989,7,4,11,1,0,c1
1990,1,21,4,1,0,c1,,1990,1,18,4,1,0,c1
1991,11,15,11,4,0,c1,,1991,10,15,11,4,0,c1
1992,12,8,20,0,1,c1,,1992,11,8,20,0,1,c1
1993,4,9,8,0,0,c1,,1993,4,9,8,0,0,c1
1994,26,35,7,15,0,c1,,1994,24,35,7,15,0,c1
1995,5,5,11,0,0,c1,,1995,6,5,13,0,0,c1
1996,12,6,20,3,0,c1,,1996,12,7,20,3,0,c1
1997,33,14,22,6,4,c1,,1997,34,14,22,6,4,c1
1998,10,23,5,8,0,c1,,1998,12,22,5,8,0,c1
1999,19,21,25,8,0,c1,,1999,18,21,24,8,0,c1
2000,41,21,14,9,3,c1,,2000,42,20,13,9,3,c1
2001,25,12,14,7,0,c1,,2001,25,12,16,6,0,c1
2002,24,9,22,3,0,c1,,2002,25,9,23,4,0,c1
2003,11,7,19,1,1,c1,,2003,11,8,18,1,1,c1
2004,19,11,30,3,2,c1,,2004,19,10,29,3,2,c1
2005,6,21,8,3,0,c1,,2005,6,21,8,3,0,c1
2006,10,15,16,1,0,c1,,2006,11,12,16,1,0,c1
2007,26,7,25,3,3,c1,,2007,24,7,25,3,3,c1
2008,11,12,7,3,0,c1,,2008,11,12,7,3,0,c1
2009,19,2,27,0,1,c1,,2009,19,3,26,1,0,c1
2010,22,18,15,7,1,c1,,2010,23,21,14,9,1,c1
2011,12,12,13,2,0,c1,,2011,16,13,13,2,0,c1
2012,13,23,9,6,0,c1,,2012,14,19,10,6,0,c1
2013,12,15,5,2,0,c1,,2013,13,18,7,3,0,c1
2014,20,17,13,5,0,c1,,2014,19,16,13,5,0,c1
2015,23,5,20,0,2,c1,,2015,23,7,21,0,2,c1
2016,16,27,7,10,0,c1,,2016,15,27,7,11,0,c1
2017,27,28,21,14,0,c1,,2017,29,25,22,14,0,c1
2018,18,20,11,10,0,c1,,2018,18,20,12,10,0,c1
2019,28,26,11,7,1,c1,,2019,27,25,10,7,0,c1
2020,17,18,8,6,0,c1,,2020,19,18,8,7,0,c1
2021,24,30,3,13,0,c1,,2021,27,30,3,14,0,c1
2022,19,38,10,13,0,c1,,2022,19,35,9,12,0,c1
1981,23,14,15,8,0,c2,,1981,23,16,16,9,0,c2
1982,4,8,17,2,0,c2,,1982,3,9,17,1,0,c2
1983,10,22,15,5,0,c2,,1983,12,23,19,5,1,c2
1984,11,14,15,5,0,c2,,1984,11,14,14,5,0,c2
1985,13,17,6,7,0,c2,,1985,11,17,5,7,0,c2
1986,10,10,16,3,0,c2,,1986,9,11,15,2,0,c2
1987,8,11,22,4,0,c2,,1987,7,9,20,4,0,c2
1988,16,21,10,8,0,c2,,1988,18,20,10,7,0,c2
1989,11,15,24,3,1,c2,,1989,12,13,23,4,1,c2
1990,11,13,18,1,1,c2,,1990,12,14,18,1,1,c2
1991,15,19,13,9,0,c2,,1991,14,18,14,9,0,c2
1992,14,2,25,2,1,c2,,1992,14,3,25,2,1,c2
1993,4,10,14,2,0,c2,,1993,4,8,15,2,0,c2
1994,13,31,10,6,0,c2,,1994,13,30,10,5,0,c2
1995,19,11,14,2,2,c2,,1995,20,12,14,2,2,c2
1996,3,17,8,3,0,c2,,1996,3,17,7,3,0,c2
1997,6,18,25,2,0,c2,,1997,6,20,27,2,0,c2
1998,13,23,10,6,0,c2,,1998,13,22,10,6,0,c2
1999,9,27,11,7,0,c2,,1999,9,27,11,8,0,c2
2000,14,9,15,3,1,c2,,2000,15,8,16,3,1,c2
2001,16,3,10,1,0,c2,,2001,15,2,11,1,0,c2
2002,14,16,20,8,0,c2,,2002,14,16,20,9,0,c2
2003,19,10,11,3,3,c2,,2003,20,9,11,4,3,c2
2004,17,10,17,6,0,c2,,2004,16,9,16,6,0,c2
2005,23,13,16,7,1,c2,,2005,24,15,15,6,0,c2
2006,24,18,17,4,1,c2,,2006,23,20,16,4,0,c2
2007,21,18,10,7,3,c2,,2007,22,16,9,8,1,c2
2008,24,10,13,6,1,c2,,2008,22,11,12,6,0,c2
2009,29,16,14,5,0,c2,,2009,27,19,14,4,0,c2
2010,28,12,14,6,4,c2,,2010,26,12,13,4,4,c2
2011,15,11,21,5,0,c2,,2011,17,11,25,6,0,c2
2012,22,18,19,4,3,c2,,2012,21,18,20,3,3,c2
2013,48,15,47,9,21,c2,,2013,43,15,45,7,19,c2
2014,7,32,12,7,0,c2,,2014,8,29,13,8,0,c2
2015,5,14,15,2,0,c2,,2015,5,14,15,3,0,c2
2016,18,31,18,7,0,c2,,2016,18,34,19,7,0,c2
2017,12,20,7,6,0,c2,,2017,13,18,7,7,0,c2
2018,16,32,5,9,0,c2,,2018,18,30,5,11,0,c2
2019,25,17,25,2,4,c2,,2019,29,17,24,2,3,c2
2020,12,23,3,7,0,c2,,2020,11,21,3,6,0,c2
2021,35,22,5,6,0,c2,,2021,35,20,5,9,0,c2
2022,26,14,22,0,3,c2,,2022,30,17,23,0,5,c2
1981,12,14,15,2,1,c3,,1981,11,11,15,2,1,c3
1982,7,9,13,1,0,c3,,1982,7,9,14,1,0,c3
1983,10,10,14,1,0,c3,,1983,12,11,16,1,0,c3
1984,7,11,9,3,0,c3,,1984,7,11,10,3,0,c3
1985,8,16,4,4,0,c3,,1985,6,15,3,2,0,c3
1986,16,4,8,1,1,c3,,1986,17,4,7,2,1,c3
1987,13,19,15,5,0,c3,,1987,14,17,14,3,0,c3
1988,7,24,11,3,0,c3,,1988,6,24,11,3,0,c3
1989,8,12,18,5,0,c3,,1989,8,13,18,5,0,c3
1990,13,25,7,4,0,c3,,1990,15,24,4,4,0,c3
1991,10,19,10,1,0,c3,,1991,10,18,10,1,0,c3
1992,15,6,19,2,5,c3,,1992,13,6,20,2,4,c3
1993,2,10,11,0,0,c3,,1993,3,9,11,1,0,c3
1994,18,27,21,9,1,c3,,1994,16,26,21,8,1,c3
1995,11,10,17,5,0,c3,,1995,11,11,17,5,0,c3
1996,9,17,10,3,0,c3,,1996,10,16,10,2,0,c3
1997,34,10,34,6,4,c3,,1997,35,9,34,5,3,c3
1998,18,27,5,10,0,c3,,1998,18,24,5,11,0,c3
1999,11,16,6,7,0,c3,,1999,13,16,6,6,0,c3
2000,11,12,9,2,0,c3,,2000,12,14,10,2,0,c3
2001,16,6,15,3,0,c3,,2001,16,5,11,3,0,c3
2002,28,17,14,11,1,c3,,2002,28,17,15,11,1,c3
2003,9,21,15,8,0,c3,,2003,9,21,14,8,0,c3
2004,15,10,17,3,0,c3,,2004,13,10,17,4,0,c3
2005,24,13,18,4,2,c3,,2005,22,12,18,4,2,c3
2006,13,16,13,4,0,c3,,2006,14,16,13,5,0,c3
2007,26,9,18,6,2,c3,,2007,27,10,19,6,2,c3
2008,13,13,22,4,0,c3,,2008,14,12,20,4,0,c3
2009,20,11,41,2,10,c3,,2009,21,11,39,1,10,c3
2010,29,20,13,12,1,c3,,2010,27,20,13,10,1,c3
2011,14,7,21,3,0,c3,,2011,14,6,22,2,0,c3
2012,18,7,22,0,3,c3,,2012,19,7,23,1,3,c3
2013,30,33,14,14,2,c3,,2013,31,34,13,15,2,c3
2014,10,8,22,1,3,c3,,2014,10,7,22,1,3,c3
2015,11,3,22,0,3,c3,,2015,14,7,22,2,4,c3
2016,23,28,13,13,0,c3,,2016,24,29,13,13,0,c3
2017,41,15,9,7,2,c3,,2017,40,15,8,7,1,c3
2018,28,25,19,9,3,c3,,2018,29,25,19,9,3,c3
2019,39,5,30,3,9,c3,,2019,38,5,31,3,8,c3
2020,20,8,22,3,3,c3,,2020,22,8,20,4,3,c3
2021,23,18,24,3,3,c3,,2021,23,16,24,3,4,c3
2022,36,23,13,15,0,c3,,2022,37,22,13,14,0,c3
1981,17,23,23,7,0,c4_1,,1981,18,25,23,6,0,c4_1
1982,7,11,23,2,0,c4_1,,1982,7,12,25,1,0,c4_1
1983,6,19,16,4,0,c4_1,,1983,5,17,16,4,0,c4_1
1984,7,18,13,1,0,c4_1,,1984,8,21,15,3,0,c4_1
1985,10,21,7,5,0,c4_1,,1985,9,19,7,5,0,c4_1
1986,7,11,9,2,0,c4_1,,1986,6,11,9,2,0,c4_1
1987,5,13,23,3,0,c4_1,,1987,6,14,21,3,0,c4_1
1988,21,21,7,6,0,c4_1,,1988,21,23,10,7,0,c4_1
1989,12,15,16,5,0,c4_1,,1989,13,16,19,5,0,c4_1
1990,19,8,18,3,1,c4_1,,1990,18,8,18,4,1,c4_1
1991,12,22,17,6,0,c4_1,,1991,14,22,17,8,0,c4_1
1992,19,9,31,3,2,c4_1,,1992,18,8,31,2,2,c4_1
1993,4,4,14,1,0,c4_1,,1993,4,5,15,1,0,c4_1
1994,16,16,12,4,0,c4_1,,1994,19,11,13,4,0,c4_1
1995,21,13,16,4,0,c4_1,,1995,22,14,15,4,0,c4_1
1996,7,16,6,1,0,c4_1,,1996,7,15,7,1,0,c4_1
1997,15,10,22,3,0,c4_1,,1997,17,10,27,3,1,c4_1
1998,13,23,5,6,0,c4_1,,1998,12,22,6,7,0,c4_1
1999,8,21,9,7,0,c4_1,,1999,8,21,7,7,0,c4_1
2000,14,16,16,3,0,c4_1,,2000,14,15,15,4,0,c4_1
2001,19,5,13,1,0,c4_1,,2001,19,5,12,1,0,c4_1
2002,8,16,13,6,0,c4_1,,2002,8,14,16,5,0,c4_1
2003,16,15,14,3,0,c4_1,,2003,16,15,14,3,0,c4_1
2004,5,9,12,2,0,c4_1,,2004,6,9,12,2,0,c4_1
2005,21,17,6,7,0,c4_1,,2005,22,17,6,7,0,c4_1
2006,61,12,30,5,12,c4_1,,2006,58,11,32,5,11,c4_1
2007,16,22,6,6,0,c4_1,,2007,17,20,7,7,0,c4_1
2008,16,12,10,6,0,c4_1,,2008,15,12,10,6,0,c4_1
2009,20,15,12,3,0,c4_1,,2009,19,16,16,3,0,c4_1
2010,23,14,10,4,0,c4_1,,2010,25,17,12,5,0,c4_1
2011,52,6,53,3,15,c4_1,,2011,53,6,52,3,16,c4_1
2012,14,19,11,6,0,c4_1,,2012,14,17,12,5,0,c4_1
2013,55,15,20,8,6,c4_1,,2013,56,16,22,8,6,c4_1
2014,9,13,14,2,0,c4_1,,2014,11,11,14,3,0,c4_1
2015,7,11,10,4,0,c4_1,,2015,7,11,11,4,0,c4_1
2016,19,26,12,9,0,c4_1,,2016,20,28,14,11,0,c4_1
2017,21,14,7,0,0,c4_1,,2017,21,16,8,3,0,c4_1
2018,31,21,10,8,0,c4_1,,2018,32,24,8,8,0,c4_1
2019,12,19,9,3,0,c4_1,,2019,14,21,9,4,0,c4_1
2020,15,16,5,2,0,c4_1,,2020,15,18,5,2,0,c4_1
2021,14,28,7,8,0,c4_1,,2021,14,30,6,10,0,c4_1
2022,46,16,18,4,6,c4_1,,2022,48,15,18,5,6,c4_1
1981,15,21,22,4,0,c4_2,,1981,16,22,19,5,0,c4_2
1982,6,14,21,1,0,c4_2,,1982,6,13,20,1,0,c4_2
1983,6,16,15,3,0,c4_2,,1983,6,14,14,3,0,c4_2
1984,6,19,17,1,0,c4_2,,1984,6,20,14,3,0,c4_2
1985,9,20,6,5,0,c4_2,,1985,9,18,7,5,0,c4_2
1986,5,11,9,1,0,c4_2,,1986,7,12,9,1,0,c4_2
1987,6,13,21,3,0,c4_2,,1987,6,15,21,3,0,c4_2
1988,20,22,8,7,0,c4_2,,1988,21,20,9,7,0,c4_2
1989,12,14,15,4,0,c4_2,,1989,12,15,17,5,0,c4_2
1990,17,5,16,3,1,c4_2,,1990,17,6,18,3,1,c4_2
1991,11,23,17,5,0,c4_2,,1991,11,22,17,5,0,c4_2
1992,17,11,34,5,3,c4_2,,1992,16,10,30,4,2,c4_2
1993,5,6,9,1,0,c4_2,,1993,4,9,11,1,0,c4_2
1994,19,15,12,4,0,c4_2,,1994,23,14,13,6,0,c4_2
1995,21,13,16,4,0,c4_2,,1995,21,15,16,5,0,c4_2
1996,6,16,8,1,0,c4_2,,1996,6,15,8,1,0,c4_2
1997,19,9,25,2,1,c4_2,,1997,18,10,29,0,2,c4_2
1998,13,22,5,7,0,c4_2,,1998,13,21,5,7,0,c4_2
1999,7,23,9,5,0,c4_2,,1999,7,21,8,6,0,c4_2
2000,13,15,14,3,0,c4_2,,2000,13,15,15,3,0,c4_2
2001,18,5,11,1,1,c4_2,,2001,20,5,11,1,1,c4_2
